logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;somatorio_comodos;area_comodo;preco_area;Zona
Rua da Lagosta, 100;Ponta Negra; Natal; 000000360; 000098; 0003; 001; 03; 000000000002; 000000319000;7;14;3255;Zona Sul  
;Ponta Negra; Natal; 000000362; 000060; 0002; 001; 01; 000000000001; 000000269000;4;15;4483;Zona Sul  
;Barro Vermelho; Natal; 000000975; 000400; 0004; 004; 06; 000000000003; 000001000000;14;28;2500;Zona Leste
;Ponta Negra; Natal; 000000600; 000054; 0002; 002; 02; 000000000001; 000000380000;6;9;7037;Zona Sul  
;Capim Macio; Natal; 000000230; 000055; 0002; 001; 02; 000000000002; 000000285000;5;11;5181;Zona Sul  
;Ponta Negra; Natal; 000001000; 000048; 0001; 001; 01; 000000000001; 000000280000;3;16;5833;Zona Sul  
;Ponta Negra; Natal; 000000200; 000055; 0002; 001; 01; 000000000001; 000000230000;4;13;4181;Zona Sul  
;Ponta Negra; Natal; 000000310; 000063; 0001; 001; 01; 000000000001; 000000340000;3;21;5396;Zona Sul  
;Capim Macio; Natal; 000001600; 000273; 0003; 003; 01; 000000000003; 000000670000;7;39;2454;Zona Sul  
;Ponta Negra; Natal; 000000520; 000058; 0002; 001; 01; 000000000001; 000000360000;4;14;6206;Zona Sul  
;Lagoa Nova; Natal; 000000156; 000060; 0002; 001; 01; 000000000001; 000000290000;4;15;4833;Zona Sul  
;Petrópolis; Natal; 000000550; 000055; 0002; 001; 01; 000000000001; 000000220000;4;13;4000;Zona Leste
;Lagoa Nova; Natal; 000002000; 000440; 0005; 005; 01; 000000000005; 000001400000;11;40;3181;Zona Sul  
;Ponta Negra; Natal; 000000400; 000447; 0004; 001; 01; 000000000003; 000001700000;6;74;3803;Zona Sul  
;Ponta Negra; Natal; 000000200; 000060; 0002; 001; 01; 000000000002; 000000300000;4;15;5000;Zona Sul  
;Capim Macio; Natal; 000000770; 000099; 0003; 002; 01; 000000000002; 000000450000;6;16;4545;Zona Sul  
