,bairro,cep,cidade,descricao,estado,preco,tilulo,tipo
0,Tirol,59020-265,Natal,Celular muito novo! Sem marcas de uso! ,Usado,800,IPhone SE 128gb ,Iphone
1,Ponta Negra,59092-500,Natal,Moto G6 Plus 64GB +3 de memória RAMAndroid 9.1 mais atualizadoSem arranhõesSem marcas de uso.7 MESES DE USO.ACOMPANHA CARREGADOR ORIGINAL TURBO E CAIXA.Mais inf: 084991057... ver número740 ,Novo,830,Moto G6 Plus 64 ,Motorola e Lenovo
2,Quintas,59050-040,Natal,"Vendo iPhone 7 32G aparelho novo praticamente semarranhões, desbloqueado para todas as operadorasbateria durando o dia todo, muito top! Masinformações e só chamar no chat ow no WhatsApp98586843 Obs sem funcionar a biometria e o botão home, foraisso funciona tudo perfeito! ",Usado,1149,IPhone 7 ,Iphone
3,Nossa Senhora da Apresentação,59114-113,Natal,vendo esse telefone comprei ontem com nota fiscalna caixa zero 32 GB de memória ,Novo,600,K11 ,LG
4,Pajuçara,59122-750,Natal,"Em ótimo estado, marcas de uso normal, bateria emmuito bom estado Biometria pegandoiCloud livrePega todas as operadoras  Obs: só o power que às vezes da uns bugs mas nãoatrapalha nada no funcionamento Wpp:9931-9843 Só venda, faço entrega nos shopping Norte shopping Midway ",Usado,700,Iphone SE 64G ,Iphone
5,Tirol,59020-265,Natal,Sem marcas de uso! Garantia até fevereiro de 2020 ,Usado,4300,IPhone XS 64gb ,Iphone
6,Lagoa Nova,59076-100,Natal,"vendo ou troco lenovo 16 gb vendo 220,00 ou trocopor um inferior com volta ",Usado,220,Vendo ou troco ,Motorola e Lenovo
7,Lagoa Nova,59054-475,Natal,iPhone 5s 16giCloud no meu nomebiometria funcionado desbloqueado para todas operadoras.Whatsapp 99613-7821... ver número,Novo,450,Iphone 5s ,Iphone
8,Nossa Senhora da Apresentação,59115-541,Natal,"Poucas marcas de uso, não está pegando chip,aberto a trocas, motivo da venda ou troca precisode um celular que pegue chip, interessados falarno WhatsApp 988109445... ver número",Usado,420,"IPhone 5, 16 gb ",Iphone
9,Lagoa Azul,59138-000,Natal,"está todo ok, apenas com um trinco bem fino nãointerfere em nada. 87337722 ",Usado,120,Samsung duos s ,Samsung
10,Felipe Camarão,59072-160,Natal,vendo precisando do dinheiro ótimo estado de usosem nenhum arranhão valor negociável qualquercoisa chama no zap: 99804-9468... ver número,Usado,500,Celular motoG 5plus ,Motorola e Lenovo
11,Nossa Senhora da Apresentação,59115-295,Natal,"ele não está pegando o chip,e os trincos não estaatrapalhado em nada funciona normal,Não temcarregado Bateria muito boa whatsapp 991195578... ver número",Usado,100,Vendo esse moto G1 de 8GB pega cartão de memória ,Motorola e Lenovo
12,Felipe Camarão,59072-160,Natal,vendo motivo precisando do dinheiro celular do meuuso sem nenhum defeito valor negociável obs: só oaparelho qualquer coisa chama no whats: 99804-9468... ver número,Usado,600,Celular J7 prime ,Samsung
13,Alecrim,59032-400,Natal,preço negociável ,Usado,700,"Vendo j6+ semi novo, sem marcas de uso pouquíssimo tempo de uso ",Samsung
14,Candelária,59064-500,Natal,"Vendo iPhone 7, 32Gb, com todos os acessórios,única dona, sem marcas de uso! Wpp: 999044691... ver número",Usado,1800,Iphone 7 32gb ,Iphone
15,Nova Descoberta,59075-100,Natal,"Celular bem conservado de única dona, vem comtodos os acessórios e nota fiscal ",Usado,370,Samsung Galaxy On7 ,Samsung
16,Capim Macio,59082-175,Natal,"Samsung S9 Plus Semi novo. Aparelho em bom estado,com garantia. Nota fiscal e Acessórios inclusos.Vai com 2 capinhas originais ",Usado,1999,Samsung S9 Plus. 9 meses de garantia restante ,Samsung
17,Cidade Alta,59025-020,Natal,vendo gram Prime todo bom não tem marcas de usoaceito Cartão whatsApp 988721222... ver número,Usado,220,Gram Prime ,Samsung
18,Neópolis,59080-115,Natal,"iPhone 7 de 32 GB, único dono com todos osacessórios originais. ",Usado,1650,IPhone 7 ,Iphone
19,Petrópolis,59020-150,Natal,Celular em boas condições de uso. Apenas com os botões de volume e silenciar semfuncionar. *Apenas o aparelho ,Usado,290,IPhone 5c - Aceito cartão ,Iphone
20,Nossa Senhora De Nazaré,59060-300,Natal,"O celular não está trincado, é só a película.Funcionando perfeitamente, acompanha carregador ",Usado,400,IPhone 5 ,Iphone
21,Cidade Alta,59025-250,Natal,Lenovo K10 C2 4G 16GB pega dois chip cartão dememória está semi-novo sem marca de uso número doWhatsApp (84)98774-6986... ver número,Usado,219,Lenovo K10 C2 4G 16GB seminovo ,Motorola e Lenovo
22,Praia do Meio,59010-000,Natal,semi novo ,Usado,65,Roteador wifi ,Outras marcas
